School_Name,Date,Identifier,Name,Planned_Reimbursable,Planned_Non-Reimbursable,Planned_Total,Offered_Reimbursable,Offered_Non-Reimbursable,Offered_Total,Served_Reimbursable,Served_Non-Reimbursable,Served_Total,Discarded_Total,Discarded_Cost,Subtotal_Cost,Left_Over_Total,Left_Over_Percent_of_Offered,Left_Over_Cost,Production_Cost_Total
Aldrin Elementary,5/05/2025,30094,Doritos Wild White Nacho Flavored Tortilla Chips (Bag),0,0,0,35,33,0,33,$11.55,0,0.00%,$0.00,$11.55,2,5.71%,$0.70,$12.25
Aldrin Elementary,5/05/2025,30097,Bottled Water (Bottle),6,0,6,5,3,0,3,$0.48,0,0.00%,$0.00,$0.48,2,40.00%,$0.32,$0.80
Aldrin Elementary,5/05/2025,30099,Chickpeas (1/4 cup),33,0,33,35,33,0,33,$2.97,0,0.00%,$0.00,$2.97,2,5.71%,$0.18,$3.15
Aldrin Elementary,5/05/2025,30107,Ranch Dressing (1 ounce),20,0,20,25,21,0,21,$2.31,0,0.00%,$0.00,$2.31,4,16.00%,$0.44,$2.75
Aldrin Elementary,5/05/2025,30109,Smartfood RF White Cheddar Popcorn (Each),20,0,20,18,16,0,16,$5.92,0,0.00%,$0.00,$5.92,2,11.11%,$0.74,$6.66
Aldrin Elementary,5/05/2025,60035,PB&J Power Pack (Power Packs),21,0,21,20,19,0,19,$20.52,0,0.00%,$0.00,$20.52,1,5.00%,$1.08,$21.60
Aldrin Elementary,5/05/2025,60036,Cherry Vanilla Yogurt Power Pack (Power Packs),4,0,4,10,8,0,8,$6.40,0,0.00%,$0.00,$6.40,2,20.00%,$1.60,$8.00
Aldrin Elementary,5/05/2025,60037,Strawberry & Banana Yogurt Power Pack (Power Packs),7,0,7,15,5,0,5,$4.00,0,0.00%,$0.00,$4.00,10,66.67%,$8.00,$12.00
Aldrin Elementary,5/05/2025,60038,Peach Yogurt Power Pack (Power Packs),4,0,4,5,2,0,2,$1.60,0,0.00%,$0.00,$1.60,3,60.00%,$2.40,$4.00
Aldrin Elementary,5/05/2025,60047,Chicken Tenders (3 tenders),175,0,175,169,166,0,166,$156.04,0,0.00%,$0.00,$156.04,3,1.78%,$2.82,$158.86
Aldrin Elementary,5/05/2025,60050,Chickenless Bites (4 Bites),45,0,45,14,10,0,10,$7.60,0,0.00%,$0.00,$7.60,4,28.57%,$3.04,$10.64
Aldrin Elementary,5/05/2025,60077,Manager's Vegetable Choice (1/4 cup),63,0,63,128,123,0,123,$0.00,0,0.00%,$0.00,$0.00,5,3.91%,$0.00,$0.00
Aldrin Elementary,5/05/2025,60151,Blueberry Bread (1 square),157,0,157,182,177,0,177,$72.57,0,0.00%,$0.00,$72.57,5,2.75%,$2.05,$74.62
Aldrin Elementary,5/06/2025,10033,Chocolate Chip Cookie (Cookie),130,0,130,130,127,0,127,$34.29,0,0.00%,$0.00,$34.29,3,2.31%,$0.81,$35.10
Aldrin Elementary,5/06/2025,10044,Soft Pretzel (1 pretzel),10,0,10,40,36,0,36,$7.92,0,0.00%,$0.00,$7.92,4,10.00%,$0.88,$8.80
Aldrin Elementary,5/06/2025,10067,Roasted Plantains (6 Slices),96,0,96,117,109,0,109,$75.21,2,1.71%,$1.38,$76.59,6,5.13%,$4.14,$80.73
Aldrin Elementary,5/06/2025,20001,1% White Milk (Each),54,0,54,120,43,0,43,$15.48,0,0.00%,$0.00,$15.48,77,64.17%,$27.72,$43.20
Aldrin Elementary,5/06/2025,20002,Fat Free Chocolate Milk (Each),133,0,133,155,133,0,133,$46.55,0,0.00%,$0.00,$46.55,22,14.19%,$7.70,$54.25
Aldrin Elementary,5/06/2025,20016,String Cheese (Each),2,0,2,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Aldrin Elementary,5/06/2025,20018,Red Seedless Grapes (16 grapes per 1/2 cup),0,0,0,184,179,0,179,$91.29,0,0.00%,$0.00,$91.29,5,2.72%,$2.55,$93.84
Aldrin Elementary,5/06/2025,20028,Lettuce Blend Salad Mix (1/2 cup),45,0,45,45,38,0,38,$3.04,0,0.00%,$0.00,$3.04,7,15.56%,$0.56,$3.60
Aldrin Elementary,5/06/2025,20030,Sour Cream (2 Tablespoons),7,0,7,15,12,0,12,$1.80,0,0.00%,$0.00,$1.80,3,20.00%,$0.45,$2.25
Aldrin Elementary,5/06/2025,20038,Fat Free White Milk (Each),30,0,30,50,20,0,20,$6.60,0,0.00%,$0.00,$6.60,30,60.00%,$9.90,$16.50
Aldrin Elementary,5/06/2025,20040,Cucumber Slices (1/4 cup),83,0,83,92,88,0,88,$5.28,0,0.00%,$0.00,$5.28,4,4.35%,$0.24,$5.52
Aldrin Elementary,5/06/2025,20047,Orange Slices (3 slices per 1/4 cup),121,0,121,136,124,0,124,$24.80,0,0.00%,$0.00,$24.80,12,8.82%,$2.40,$27.20
Aldrin Elementary,5/06/2025,20047,Orange Slices (6 Slices per 1/2 cup),20,0,20,20,18,0,18,$7.20,0,0.00%,$0.00,$7.20,2,10.00%,$0.80,$8.00
Aldrin Elementary,5/06/2025,20052,Assorted  4 oz Yogurt (Container),3,0,3,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00
Aldrin Elementary,5/06/2025,30008,Apple Juice (Each),20,0,20,20,19,0,19,$3.23,0,0.00%,$0.00,$3.23,1,5.00%,$0.17,$3.40
Aldrin Elementary,5/06/2025,30009,Orange Tangerine Juice (Each),10,0,10,25,23,0,23,$3.91,0,0.00%,$0.00,$3.91,2,8.00%,$0.34,$4.25
Aldrin Elementary,5/06/2025,30011,"Salsa, Mild Canned (1.5 oz)",9,0,9,12,8,0,8,$0.80,0,0.00%,$0.00,$0.80,4,33.33%,$0.40,$1.20
Aldrin Elementary,5/06/2025,30024,Black Beans (1/4 Cup),33,0,33,35,32,0,32,$2.88,0,0.00%,$0.00,$2.88,3,8.57%,$0.27,$3.15
Aldrin Elementary,5/06/2025,30033,Cheez-Its Crackers (Package),0,0,0,5,3,0,3,$0.54,0,0.00%,$0.00,$0.54,2,40.00%,$0.36,$0.90
Aldrin Elementary,5/06/2025,30043,Raspberry Lemonade Flavored Dried Cranberries (Each),8,0,8,10,8,0,8,$1.92,0,0.00%,$0.00,$1.92,2,20.00%,$0.48,$2.40
Aldrin Elementary,5/06/2025,30044,Strawberry Flavored Dried Cranberries (Each),8,0,8,10,7,0,7,$1.68,0,0.00%,$0.00,$1.68,3,30.00%,$0.72,$2.40
Aldrin Elementary,5/06/2025,30045,Watermelon Flavored Dried Cranberries (Each),8,0,8,10,8,0,8,$1.92,0,0.00%,$0.00,$1.92,2,20.00%,$0.48,$2.40
Aldrin Elementary,5/06/2025,30077,Italian Dressing (1 ounce),17,0,17,20,18,0,18,$1.44,0,0.00%,$0.00,$1.44,2,10.00%,$0.16,$1.60
Aldrin Elementary,5/06/2025,30097,Bottled Water (Bottle),6,0,6,6,5,0,5,$0.80,0,0.00%,$0.00,$0.80,1,16.67%,$0.16,$0.96
Aldrin Elementary,5/06/2025,30107,Ranch Dressing (1 ounce),20,0,20,24,20,0,20,$2.20,0,0.00%,$0.00,$2.20,4,16.67%,$0.44,$2.64
Aldrin Elementary,5/06/2025,60018,Cheese Quesadilla (Quesadilla),38,0,38,45,42,0,42,$28.98,2,4.44%,$1.38,$30.36,1,2.22%,$0.69,$31.05
Aldrin Elementary,5/06/2025,60035,PB&J Power Pack (Power Packs),21,0,21,70,63,0,63,$68.04,0,0.00%,$0.00,$68.04,7,10.00%,$7.56,$75.60
Aldrin Elementary,5/06/2025,60036,Cherry Vanilla Yogurt Power Pack (Power Packs),5,0,5,20,16,0,16,$12.80,0,0.00%,$0.00,$12.80,4,20.00%,$3.20,$16.00
Aldrin Elementary,5/06/2025,60037,Strawberry & Banana Yogurt Power Pack (Power Packs),5,0,5,10,8,0,8,$6.40,0,0.00%,$0.00,$6.40,2,20.00%,$1.60,$8.00
Aldrin Elementary,5/06/2025,60038,Peach Yogurt Power Pack (Power Packs),4,0,4,10,6,0,6,$4.80,0,0.00%,$0.00,$4.80,4,40.00%,$3.20,$8.00
Aldrin Elementary,5/06/2025,60077,Manager's Vegetable Choice (1/4 cup),63,0,63,56,53,0,53,$0.00,0,0.00%,$0.00,$0.00,3,5.36%,$0.00,$0.00
Aldrin Elementary,5/06/2025,60119,Pineapple Pepper Fruit Salsa (1 TBSP),6,0,6,8,7,0,7,$0.91,0,0.00%,$0.00,$0.91,1,12.50%,$0.13,$1.04
Aldrin Elementary,5/06/2025,60121,"Sauce, Spicy Mayo (tbsp)",22,0,22,42,30,0,30,$2.70,0,0.00%,$0.00,$2.70,12,28.57%,$1.08,$3.78
Aldrin Elementary,5/06/2025,60157,Mandarin Orange Pepper Fruit Salsa (1 TBSP),0,0,0,70,67,0,67,$8.71,3,4.29%,$0.39,$9.10,0,0.00%,$0.00,$9.10
Aldrin Elementary,5/06/2025,60999,Fish Tacos (2 Tacos),69,0,69,64,63,0,63,$63.63,0,0.00%,$0.00,$63.63,1,1.56%,$1.01,$64.64
Aldrin Elementary,5/06/2025,sys-16,Fish Tacos (2 Tacos),0,0,0,7,6,0,6,$8.58,0,0.00%,$0.00,$8.58,1,14.29%,$1.43,$10.01
Aldrin Elementary,5/07/2025,10044,Soft Pretzel (1 pretzel),10,0,10,50,46,0,46,$10.12,0,0.00%,$0.00,$10.12,4,8.00%,$0.88,$11.00
Aldrin Elementary,5/07/2025,20001,1% White Milk (Each),54,0,54,67,47,0,47,$16.92,0,0.00%,$0.00,$16.92,20,29.85%,$7.20,$24.12
Aldrin Elementary,5/07/2025,20002,Fat Free Chocolate Milk (Each),133,0,133,150,130,0,130,$45.50,0,0.00%,$0.00,$45.50,20,13.33%,$7.00,$52.50
Aldrin Elementary,5/07/2025,20008,Apple Slices (3 slices per 1/4 cup),228,0,228,256,249,0,249,$146.91,0,0.00%,$0.00,$146.91,7,2.73%,$4.13,$151.04
Aldrin Elementary,5/07/2025,20016,String Cheese (Each),1,0,1,5,1,0,1,$0.22,0,0.00%,$0.00,$0.22,4,80.00%,$0.88,$1.10
Aldrin Elementary,5/07/2025,20027,Broccoli Florets (1/4 cup),53,0,53,84,81,0,81,$6.48,0,0.00%,$0.00,$6.48,3,3.57%,$0.24,$6.72
Aldrin Elementary,5/07/2025,20028,Lettuce Blend Salad Mix (1/2 cup),45,0,45,40,38,0,38,$3.04,0,0.00%,$0.00,$3.04,2,5.00%,$0.16,$3.20
Aldrin Elementary,5/07/2025,20038,Fat Free White Milk (Each),30,0,30,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50
Aldrin Elementary,5/07/2025,20047,Orange Slices (3 slices per 1/4 cup),0,0,0,170,168,0,168,$33.60,0,0.00%,$0.00,$33.60,2,1.18%,$0.40,$34.00
Aldrin Elementary,5/07/2025,20052,Assorted  4 oz Yogurt (Container),2,0,2,5,1,0,1,$0.00,0,0.00%,$0.00,$0.00,4,80.00%,$0.00,$0.00
Aldrin Elementary,5/07/2025,30008,Apple Juice (Each),21,0,21,20,16,0,16,$2.72,0,0.00%,$0.00,$2.72,4,20.00%,$0.68,$3.40
Aldrin Elementary,5/07/2025,30009,Orange Tangerine Juice (Each),14,0,14,20,15,0,15,$2.55,0,0.00%,$0.00,$2.55,5,25.00%,$0.85,$3.40
Aldrin Elementary,5/07/2025,30020,Applesauce (1/2 Cup),19,0,19,17,16,0,16,$3.36,0,0.00%,$0.00,$3.36,1,5.88%,$0.21,$3.57
Aldrin Elementary,5/07/2025,30033,Cheez-Its Crackers (Package),0,0,0,10,5,0,5,$0.90,0,0.00%,$0.00,$0.90,5,50.00%,$0.90,$1.80
Aldrin Elementary,5/07/2025,30043,Raspberry Lemonade Flavored Dried Cranberries (Each),8,0,8,15,13,0,13,$3.12,0,0.00%,$0.00,$3.12,2,13.33%,$0.48,$3.60
Aldrin Elementary,5/07/2025,30044,Strawberry Flavored Dried Cranberries (Each),8,0,8,15,12,0,12,$2.88,0,0.00%,$0.00,$2.88,3,20.00%,$0.72,$3.60
Aldrin Elementary,5/07/2025,30045,Watermelon Flavored Dried Cranberries (Each),8,0,8,15,10,0,10,$2.40,0,0.00%,$0.00,$2.40,5,33.33%,$1.20,$3.60
Aldrin Elementary,5/07/2025,30077,Italian Dressing (1 ounce),17,0,17,17,14,0,14,$1.12,0,0.00%,$0.00,$1.12,3,17.65%,$0.24,$1.36
