school_name,name,left_over_total,offered,leftover_rate
Aldrin Elementary,Banana(Each),20,339,5.899705014749262
Aldrin Elementary,String Cheese(1 Stick),16,283,5.6537102473498235
Aldrin Elementary,Egg and American Cheese on Biscuit(Sandwich),4,87,4.597701149425287
Aldrin Elementary,Blueberry Bread(1 square),4,118,3.389830508474576
Aldrin Elementary,Cheeseburger(Sandwich),0,16,0.0
Annandale High,Red Delicious Apple(Each - serving),919,2601,35.33256439830834
Annandale High,Fat Free White Milk(Each),548,2026,27.04837117472853
Annandale High,Golden Delicious Apple(Each),331,1316,25.151975683890576
Annandale High,Orange(6 Slices per 1/2 cup),327,1355,24.132841328413285
Annandale High,Natural Grape Jam(Packet),207,1000,20.7
Annandale High,Gala Apple(Each),35,170,20.588235294117645
Annandale High,Banana(Each),161,830,19.397590361445783
Annandale High,Orange Tangerine Juice(Each),791,4806,16.45859342488556
Annandale High,Mini Maple Pancakes(Package),967,6868,14.079790331974372
Annandale High,1% White Milk(Each),266,1892,14.059196617336154
Annandale High,Cream Cheese(Each),917,6577,13.942526987988444
Annandale High,Honey Cheerios Cereal(Each),218,1572,13.867684478371501
Annandale High,Bagel(Bagel),943,6977,13.515837752615736
Annandale High,Natural Breakfast Syrup(Each),90,700,12.857142857142856
Annandale High,"Parfait, Triple Berry(Parfait)",14,109,12.844036697247708
Annandale High,Apple Juice(Each),1723,17661,9.755959458694297
Annandale High,Blueberry Chex Cereal(Each),127,1360,9.338235294117647
Annandale High,Cinnamon Chex Cereal(Each),99,1070,9.25233644859813
Annandale High,Strawberry Parfait(Parfait),72,1011,7.121661721068249
Annandale High,Egg and American Cheese on Bagel(Sandwich),73,1077,6.778087279480037
Annandale High,Mandarin Orange Parfait(Parfait),67,1020,6.568627450980393
Annandale High,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",63,1236,5.097087378640777
Annandale High,"Sandwich, Breakfast. Bagel, Turkey Sausage(Sandwich)",51,1314,3.881278538812785
Annandale High,Egg and American Cheese on English Muffin(Sandwich),5,290,1.7241379310344827
Annandale High,Apple Cinnamon Bread(1oz Grain (1/64 Baked Pan)),0,147,0.0
Annandale Terrace Elementary,Biscuit(Biscuit),9,14,64.28571428571429
Annandale Terrace Elementary,Natural Grape Jam(Packet),53,153,34.64052287581699
Annandale Terrace Elementary,Fat Free White Milk(Each),126,682,18.475073313782993
Annandale Terrace Elementary,Red Delicious Apple(Each - serving),95,773,12.289780077619664
Annandale Terrace Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",41,547,7.495429616087751
Annandale Terrace Elementary,1% White Milk(Each),189,2579,7.32842186894145
Annandale Terrace Elementary,Bagel(Bagel),34,515,6.601941747572816
Annandale Terrace Elementary,Mini Maple Pancakes(Package),199,3042,6.5417488494411575
Annandale Terrace Elementary,Orange Tangerine Juice(Each),252,3905,6.453265044814341
Annandale Terrace Elementary,Honey Cheerios Cereal(Each),37,822,4.5012165450121655
Annandale Terrace Elementary,Blueberry Chex Cereal(Each),39,944,4.13135593220339
Annandale Terrace Elementary,Cinnamon Chex Cereal(Each),22,594,3.7037037037037033
Annandale Terrace Elementary,Mandarin Orange Parfait(Parfait),8,216,3.7037037037037033
Annandale Terrace Elementary,Apple Juice(Each),144,3957,3.639120545868082
Annandale Terrace Elementary,Banana(Each),47,1300,3.6153846153846154
Annandale Terrace Elementary,Orange(6 Slices per 1/2 cup),10,297,3.3670033670033668
Annandale Terrace Elementary,Chicken & Biscuit Sandwich(Sandwich),7,210,3.3333333333333335
Annandale Terrace Elementary,Strawberry Parfait(Parfait),3,115,2.608695652173913
Annandale Terrace Elementary,Turkey Sausage Breakfast Biscuit(Sandwich),2,78,2.564102564102564
