School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Beech Tree Elementary,5/05/2025,20069,"Apple, Slices, IW - ER Supper Only(Each)",0,0,0,55,47,0,47,$15.51,0,0.00%,$0.00,$15.51,8,14.55%,$2.64,$18.15,,,,
Beech Tree Elementary,5/05/2025,30004,Blueberry Chex Cereal(Each),25,0,25,26,19,0,19,$11.21,0,0.00%,$0.00,$11.21,7,26.92%,$4.13,$15.34,,,,
Beech Tree Elementary,5/05/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",25,0,25,60,46,0,46,$27.14,0,0.00%,$0.00,$27.14,14,23.33%,$8.26,$35.40,,,,
Beech Tree Elementary,5/05/2025,30008,Apple Juice(Each),140,0,140,140,136,0,136,$23.12,0,0.00%,$0.00,$23.12,4,2.86%,$0.68,$23.80,,,,
Beech Tree Elementary,5/05/2025,30009,Orange Tangerine Juice(Each),40,0,40,42,20,0,20,$3.40,0,0.00%,$0.00,$3.40,22,52.38%,$3.74,$7.14,,,,
Beech Tree Elementary,5/05/2025,60034,Mandarin Orange Parfait(Parfait),20,0,20,15,15,0,15,$14.85,0,0.00%,$0.00,$14.85,0,0.00%,$0.00,$14.85,,,,
Belle View Elementary,5/05/2025,10041,Mini Maple Pancakes(Package),0,0,0,50,46,0,46,$17.94,0,0.00%,$0.00,$17.94,4,8.00%,$1.56,$19.50,,,,
Belle View Elementary,5/05/2025,20001,1% White Milk(Each),21,0,21,30,21,0,21,$7.56,0,0.00%,$0.00,$7.56,9,30.00%,$3.24,$10.80,,,,
Belle View Elementary,5/05/2025,20015,Golden Delicious Apple(Each),0,0,0,30,30,0,30,$9.30,0,0.00%,$0.00,$9.30,0,0.00%,$0.00,$9.30,,,,
Belle View Elementary,5/05/2025,20038,Fat Free White Milk(Each),7,0,7,5,5,0,5,$1.65,0,0.00%,$0.00,$1.65,0,0.00%,$0.00,$1.65,,,,
Belle View Elementary,5/05/2025,30003,Honey Cheerios Cereal(Each),13,0,13,15,13,0,13,$7.67,0,0.00%,$0.00,$7.67,2,13.33%,$1.18,$8.85,,,,
Belle View Elementary,5/05/2025,30006,Cinnamon Chex Cereal(Each),6,0,6,10,6,0,6,$3.54,0,0.00%,$0.00,$3.54,4,40.00%,$2.36,$5.90,,,,
Belle View Elementary,5/05/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",16,0,16,15,12,0,12,$7.08,0,0.00%,$0.00,$7.08,3,20.00%,$1.77,$8.85,,,,
Belle View Elementary,5/05/2025,30008,Apple Juice(Each),54,0,54,65,65,0,65,$11.05,0,0.00%,$0.00,$11.05,0,0.00%,$0.00,$11.05,,,,
Belle View Elementary,5/05/2025,30009,Orange Tangerine Juice(Each),14,0,14,20,14,0,14,$2.38,0,0.00%,$0.00,$2.38,6,30.00%,$1.02,$3.40,,,,
Belle View Elementary,5/05/2025,60034,Mandarin Orange Parfait(Parfait),3,0,3,2,2,0,2,$1.98,0,0.00%,$0.00,$1.98,0,0.00%,$0.00,$1.98,,,,
Belvedere Elementary,5/05/2025,10020,Bagel(Bagel),0,0,0,63,63,0,63,$20.16,0,0.00%,$0.00,$20.16,0,0.00%,$0.00,$20.16,,,,
Belvedere Elementary,5/05/2025,10041,Mini Maple Pancakes(Package),150,0,150,100,75,7,82,$31.98,0,0.00%,$0.00,$31.98,18,18.00%,$7.02,$39.00,,,,
Belvedere Elementary,5/05/2025,20001,1% White Milk(Each),130,0,130,116,91,0,91,$32.76,0,0.00%,$0.00,$32.76,25,21.55%,$9.00,$41.76,,,,
Belvedere Elementary,5/05/2025,20009,Cream Cheese(Each),0,0,0,63,63,0,63,$18.27,0,0.00%,$0.00,$18.27,0,0.00%,$0.00,$18.27,,,,
Belvedere Elementary,5/05/2025,20017,Orange(6 Slices per 1/2 cup),50,0,50,50,42,0,42,$14.28,0,0.00%,$0.00,$14.28,8,16.00%,$2.72,$17.00,,,,
Belvedere Elementary,5/05/2025,20031,Banana(Each),50,0,50,10,10,0,10,$2.10,0,0.00%,$0.00,$2.10,0,0.00%,$0.00,$2.10,,,,
Belvedere Elementary,5/05/2025,20038,Fat Free White Milk(Each),25,0,25,15,6,0,6,$1.98,0,0.00%,$0.00,$1.98,9,60.00%,$2.97,$4.95,,,,
