School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Annandale Terrace Elementary,5/23/2025,60120,Asian Veggie Sub(sandwich),0,0,0,2,2,0,2,$3.78,0,0.00%,$0.00,$3.78,0,0.00%,$0.00,$3.78,,,,
Annandale Terrace Elementary,5/23/2025,60150,Strawberry Parfait Power Pack(Power Pack),0,0,0,2,2,0,2,$3.26,0,0.00%,$0.00,$3.26,0,0.00%,$0.00,$3.26,,,,
Armstrong Elementary,5/23/2025,10044,Soft Pretzel(1 pretzel),0,0,0,2,0,0,0,$0.00,2,100.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00,,,,
Armstrong Elementary,5/23/2025,10075,Cheese Pizza(Slice),27,0,27,45,42,0,42,$23.94,3,6.67%,$1.71,$25.65,0,0.00%,$0.00,$25.65,,,,
Armstrong Elementary,5/23/2025,20001,1% White Milk(Each),19,0,19,50,21,0,21,$7.56,0,0.00%,$0.00,$7.56,29,58.00%,$10.44,$18.00,,,,
Armstrong Elementary,5/23/2025,20002,Fat Free Chocolate Milk(Each),91,0,91,150,107,0,107,$37.45,0,0.00%,$0.00,$37.45,43,28.67%,$15.05,$52.50,,,,
Armstrong Elementary,5/23/2025,20011,Cherry Tomatoes(1/4 cup),29,0,29,50,47,0,47,$17.39,3,6.00%,$1.11,$18.50,0,0.00%,$0.00,$18.50,,,,
Armstrong Elementary,5/23/2025,20014,Red Delicious Apple(Each - serving),0,0,0,62,62,0,62,$20.46,0,0.00%,$0.00,$20.46,0,0.00%,$0.00,$20.46,,,,
Armstrong Elementary,5/23/2025,20017,Orange(1/4 cup),0,0,0,46,44,0,44,$7.48,2,4.35%,$0.34,$7.82,0,0.00%,$0.00,$7.82,,,,
Armstrong Elementary,5/23/2025,20027,Broccoli Florets(1/4 cup),0,0,0,48,45,0,45,$3.60,3,6.25%,$0.24,$3.84,0,0.00%,$0.00,$3.84,,,,
Armstrong Elementary,5/23/2025,20028,Lettuce Blend Salad Mix(1/2 cup),57,0,57,80,73,0,73,$5.84,7,8.75%,$0.56,$6.40,0,0.00%,$0.00,$6.40,,,,
Armstrong Elementary,5/23/2025,20036,Celery Sticks(1/4 cup),0,0,0,50,47,0,47,$12.69,3,6.00%,$0.81,$13.50,0,0.00%,$0.00,$13.50,,,,
Armstrong Elementary,5/23/2025,20038,Fat Free White Milk(Each),15,0,15,50,14,0,14,$4.62,0,0.00%,$0.00,$4.62,36,72.00%,$11.88,$16.50,,,,
