school,meal_type,food_item,recommended_quantity
beech tree elementary,Breakfast,Blueberry Bread (1oz Grain (1/64 Baked Pan)),2
beech tree elementary,Breakfast,Blueberry Muffin Top (Muffin Top),2
beech tree elementary,Breakfast,Orange Slices (3 slices per 1/4 cup),2
beech tree elementary,Breakfast,"Parfait, Triple Berry (Parfait)",2
beech tree elementary,Breakfast,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",2
beech tree elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
beech tree elementary,Breakfast,Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),1
beech tree elementary,Breakfast,Apple Cinnamon Bread (Grain for entree) (1 square),1
beech tree elementary,Breakfast,Apple Slices (3 slices per 1/4 cup),1
beech tree elementary,Breakfast,Biscuit (Biscuit),1
beech tree elementary,Breakfast,Bottled Water (Bottle),1
beech tree elementary,Breakfast,Chilled Mandarin Oranges (1/2 cup (drained)),1
beech tree elementary,Breakfast,Chilled Pineapple (1/2 cup),1
beech tree elementary,Breakfast,Egg and American Cheese on English Muffin (Sandwich),1
beech tree elementary,Breakfast,"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",1
beech tree elementary,Breakfast,Golden Delicious Apple (Each),1
belle view elementary,Breakfast,Apple Juice (Each),37
belle view elementary,Breakfast,Orange Tangerine Juice (Each),20
belle view elementary,Breakfast,1% White Milk (Each),17
belle view elementary,Breakfast,Mini Maple Pancakes (Package),17
belle view elementary,Breakfast,Bagel (Bagel),8
belle view elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",6
belle view elementary,Breakfast,Cream Cheese (Each),6
belle view elementary,Breakfast,Honey Cheerios Cereal (Each),6
belle view elementary,Breakfast,Red Delicious Apple (Each - serving),6
belle view elementary,Breakfast,Cinnamon Chex Cereal (Each),5
belle view elementary,Breakfast,Banana (Each),4
belle view elementary,Breakfast,Blueberry Chex Cereal (Each),4
belle view elementary,Breakfast,Fat Free White Milk (Each),4
belle view elementary,Breakfast,String Cheese (1 Stick),4
belle view elementary,Breakfast,Natural Breakfast Syrup (Each),3
belle view elementary,Breakfast,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",2
belle view elementary,Breakfast,Mandarin Orange Parfait (Parfait),2
belle view elementary,Breakfast,Natural Grape Jam (Packet),2
belle view elementary,Breakfast,Orange (6 Slices per 1/2 cup),2
belle view elementary,Breakfast,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),1
belle view elementary,Breakfast,Applesauce (1/2 Cup),1
belle view elementary,Breakfast,Blueberry Bread (1 square),1
belle view elementary,Breakfast,Blueberry Bread (1oz Grain (1/64 Baked Pan)),1
belle view elementary,Breakfast,Blueberry Muffin Top (Muffin Top),1
belle view elementary,Breakfast,Chicken & Biscuit Sandwich (Sandwich),1
belle view elementary,Breakfast,Chilled Peaches (1/2 cup (drained)),1
belle view elementary,Breakfast,Egg and American Cheese on Bagel (Sandwich),1
belle view elementary,Breakfast,Egg and American Cheese on Biscuit (Sandwich),1
belle view elementary,Breakfast,Orange Slices (3 slices per 1/4 cup),1
belle view elementary,Breakfast,"Parfait, Triple Berry (Parfait)",1
