school,meal_type,food_item,recommended_quantity
crestwood elementary,Breakfast,1% White Milk (Each),119
crestwood elementary,Breakfast,Fat Free White Milk (Each),32
crestwood elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
crestwood elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
crestwood elementary,Breakfast,"Lactose Free, White Milk (Each)",1
crestwood elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
crestwood elementary,Lunch,Fat Free Chocolate Milk (Each),116
crestwood elementary,Lunch,1% White Milk (Each),28
crestwood elementary,Lunch,Fat Free White Milk (Each),10
crestwood elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
crossfield elementary,Breakfast,1% White Milk (Each),9
crossfield elementary,Breakfast,Fat Free White Milk (Each),2
crossfield elementary,Lunch,Fat Free Chocolate Milk (Each),9
crossfield elementary,Lunch,1% White Milk (Each),2
crossfield elementary,Lunch,Fat Free White Milk (Each),1
cub run elementary,Breakfast,1% White Milk (Each),19
cub run elementary,Breakfast,Fat Free White Milk (Each),5
cub run elementary,Lunch,Fat Free Chocolate Milk (Each),19
cub run elementary,Lunch,1% White Milk (Each),4
cub run elementary,Lunch,Fat Free White Milk (Each),2
cunningham park elementary,Breakfast,1% White Milk (Each),22
cunningham park elementary,Breakfast,Fat Free White Milk (Each),6
cunningham park elementary,Lunch,Fat Free Chocolate Milk (Each),22
cunningham park elementary,Lunch,1% White Milk (Each),5
cunningham park elementary,Lunch,Fat Free White Milk (Each),2
daniels run elementary,Breakfast,1% White Milk (Each),31
daniels run elementary,Breakfast,Fat Free White Milk (Each),8
daniels run elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
daniels run elementary,Lunch,Fat Free Chocolate Milk (Each),31
daniels run elementary,Lunch,1% White Milk (Each),7
daniels run elementary,Lunch,Fat Free White Milk (Each),3
deer park elementary,Breakfast,1% White Milk (Each),31
deer park elementary,Breakfast,Fat Free White Milk (Each),8
deer park elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
deer park elementary,Lunch,Fat Free Chocolate Milk (Each),31
deer park elementary,Lunch,1% White Milk (Each),7
deer park elementary,Lunch,Fat Free White Milk (Each),3
dogwood elementary,Breakfast,1% White Milk (Each),133
dogwood elementary,Breakfast,Fat Free White Milk (Each),35
dogwood elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
dogwood elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
dogwood elementary,Breakfast,"Lactose Free, White Milk (Each)",1
dogwood elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
dogwood elementary,Lunch,Fat Free Chocolate Milk (Each),130
dogwood elementary,Lunch,1% White Milk (Each),31
dogwood elementary,Lunch,Fat Free White Milk (Each),11
dogwood elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
dranesville elementary,Breakfast,1% White Milk (Each),113
dranesville elementary,Breakfast,Fat Free White Milk (Each),30
dranesville elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
dranesville elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
dranesville elementary,Breakfast,"Lactose Free, White Milk (Each)",1
dranesville elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
dranesville elementary,Lunch,Fat Free Chocolate Milk (Each),110
dranesville elementary,Lunch,1% White Milk (Each),26
dranesville elementary,Lunch,Fat Free White Milk (Each),10
dranesville elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
eagle view elementary,Breakfast,1% White Milk (Each),45
eagle view elementary,Breakfast,Fat Free White Milk (Each),12
eagle view elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
eagle view elementary,Lunch,Fat Free Chocolate Milk (Each),44
eagle view elementary,Lunch,1% White Milk (Each),11
eagle view elementary,Lunch,Fat Free White Milk (Each),4
edison high,Breakfast,1% White Milk (Each),22
edison high,Breakfast,Fat Free White Milk (Each),6
edison high,Lunch,Fat Free Chocolate Milk (Each),22
edison high,Lunch,1% White Milk (Each),5
edison high,Lunch,Fat Free White Milk (Each),2
fairfax high,Breakfast,1% White Milk (Each),27
fairfax high,Breakfast,Fat Free White Milk (Each),7
fairfax high,Lunch,Fat Free Chocolate Milk (Each),26
fairfax high,Lunch,1% White Milk (Each),6
fairfax high,Lunch,Fat Free White Milk (Each),2
fairfax villa elementary,Breakfast,1% White Milk (Each),22
fairfax villa elementary,Breakfast,Fat Free White Milk (Each),6
fairfax villa elementary,Lunch,Fat Free Chocolate Milk (Each),22
fairfax villa elementary,Lunch,1% White Milk (Each),5
fairfax villa elementary,Lunch,Fat Free White Milk (Each),2
fairhill elementary,Breakfast,1% White Milk (Each),37
fairhill elementary,Breakfast,Fat Free White Milk (Each),10
fairhill elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
fairhill elementary,Lunch,Fat Free Chocolate Milk (Each),37
fairhill elementary,Lunch,1% White Milk (Each),9
fairhill elementary,Lunch,Fat Free White Milk (Each),3
fairview elementary,Breakfast,1% White Milk (Each),8
fairview elementary,Breakfast,Fat Free White Milk (Each),2
fairview elementary,Lunch,Fat Free Chocolate Milk (Each),8
fairview elementary,Lunch,1% White Milk (Each),2
fairview elementary,Lunch,Fat Free White Milk (Each),1
falls church hs,Breakfast,1% White Milk (Each),86
falls church hs,Breakfast,Fat Free White Milk (Each),23
falls church hs,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
falls church hs,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
falls church hs,Breakfast,"Lactose Free, White Milk (Each)",1
falls church hs,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
falls church hs,Lunch,Fat Free Chocolate Milk (Each),84
falls church hs,Lunch,1% White Milk (Each),20
falls church hs,Lunch,Fat Free White Milk (Each),7
falls church hs,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
flint hill elementary,Breakfast,1% White Milk (Each),8
flint hill elementary,Breakfast,Fat Free White Milk (Each),2
flint hill elementary,Lunch,Fat Free Chocolate Milk (Each),8
flint hill elementary,Lunch,1% White Milk (Each),2
flint hill elementary,Lunch,Fat Free White Milk (Each),1
floris elementary,Breakfast,1% White Milk (Each),12
floris elementary,Breakfast,Fat Free White Milk (Each),3
floris elementary,Lunch,Fat Free Chocolate Milk (Each),12
floris elementary,Lunch,1% White Milk (Each),3
floris elementary,Lunch,Fat Free White Milk (Each),1
forest edge elementary,Breakfast,1% White Milk (Each),99
forest edge elementary,Breakfast,Fat Free White Milk (Each),26
forest edge elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
forest edge elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
forest edge elementary,Breakfast,"Lactose Free, White Milk (Each)",1
forest edge elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
forest edge elementary,Lunch,Fat Free Chocolate Milk (Each),97
forest edge elementary,Lunch,1% White Milk (Each),23
forest edge elementary,Lunch,Fat Free White Milk (Each),9
forest edge elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
forestdale elementary,Breakfast,1% White Milk (Each),54
forestdale elementary,Breakfast,Fat Free White Milk (Each),14
forestdale elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
forestdale elementary,Lunch,Fat Free Chocolate Milk (Each),53
forestdale elementary,Lunch,1% White Milk (Each),13
forestdale elementary,Lunch,Fat Free White Milk (Each),5
forestville elementary,Breakfast,1% White Milk (Each),5
forestville elementary,Breakfast,Fat Free White Milk (Each),1
forestville elementary,Lunch,Fat Free Chocolate Milk (Each),5
forestville elementary,Lunch,1% White Milk (Each),1
fort belvoir primary elementary,Breakfast,1% White Milk (Each),124
fort belvoir primary elementary,Breakfast,Fat Free White Milk (Each),33
fort belvoir primary elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
fort belvoir primary elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
fort belvoir primary elementary,Breakfast,"Lactose Free, White Milk (Each)",1
fort belvoir primary elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
fort belvoir primary elementary,Lunch,Fat Free Chocolate Milk (Each),122
fort belvoir primary elementary,Lunch,1% White Milk (Each),29
fort belvoir primary elementary,Lunch,Fat Free White Milk (Each),11
fort belvoir primary elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
fort belvoir upper elementary,Breakfast,1% White Milk (Each),59
fort belvoir upper elementary,Breakfast,Fat Free White Milk (Each),16
fort belvoir upper elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
fort belvoir upper elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
fort belvoir upper elementary,Lunch,Fat Free Chocolate Milk (Each),57
fort belvoir upper elementary,Lunch,1% White Milk (Each),14
fort belvoir upper elementary,Lunch,Fat Free White Milk (Each),5
fort hunt elementary,Breakfast,1% White Milk (Each),21
fort hunt elementary,Breakfast,Fat Free White Milk (Each),5
fort hunt elementary,Lunch,Fat Free Chocolate Milk (Each),20
fort hunt elementary,Lunch,1% White Milk (Each),5
fort hunt elementary,Lunch,Fat Free White Milk (Each),2
fox mill elementary,Breakfast,1% White Milk (Each),5
fox mill elementary,Breakfast,Fat Free White Milk (Each),1
fox mill elementary,Lunch,Fat Free Chocolate Milk (Each),5
fox mill elementary,Lunch,1% White Milk (Each),1
franconia elementary,Breakfast,1% White Milk (Each),18
franconia elementary,Breakfast,Fat Free White Milk (Each),5
franconia elementary,Lunch,Fat Free Chocolate Milk (Each),17
franconia elementary,Lunch,1% White Milk (Each),4
franconia elementary,Lunch,Fat Free White Milk (Each),2
franklin middle,Breakfast,1% White Milk (Each),11
franklin middle,Breakfast,Fat Free White Milk (Each),3
franklin middle,Lunch,Fat Free Chocolate Milk (Each),10
franklin middle,Lunch,1% White Milk (Each),2
franklin middle,Lunch,Fat Free White Milk (Each),1
franklin sherman elementary,Breakfast,1% White Milk (Each),7
franklin sherman elementary,Breakfast,Fat Free White Milk (Each),2
franklin sherman elementary,Lunch,Fat Free Chocolate Milk (Each),7
franklin sherman elementary,Lunch,1% White Milk (Each),2
franklin sherman elementary,Lunch,Fat Free White Milk (Each),1
freedom hill elementary,Breakfast,1% White Milk (Each),43
freedom hill elementary,Breakfast,Fat Free White Milk (Each),11
freedom hill elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
freedom hill elementary,Lunch,Fat Free Chocolate Milk (Each),42
freedom hill elementary,Lunch,1% White Milk (Each),10
freedom hill elementary,Lunch,Fat Free White Milk (Each),4
frost middle,Breakfast,1% White Milk (Each),12
frost middle,Breakfast,Fat Free White Milk (Each),3
frost middle,Lunch,Fat Free Chocolate Milk (Each),12
frost middle,Lunch,1% White Milk (Each),3
frost middle,Lunch,Fat Free White Milk (Each),1
garfield elementary,Breakfast,1% White Milk (Each),38
garfield elementary,Breakfast,Fat Free White Milk (Each),10
garfield elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
garfield elementary,Lunch,Fat Free Chocolate Milk (Each),37
garfield elementary,Lunch,1% White Milk (Each),9
garfield elementary,Lunch,Fat Free White Milk (Each),3
glasgow middle,Breakfast,1% White Milk (Each),67
glasgow middle,Breakfast,Fat Free White Milk (Each),18
glasgow middle,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
glasgow middle,Breakfast,"Lactose Free, White Milk (Each)",1
glasgow middle,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
glasgow middle,Lunch,Fat Free Chocolate Milk (Each),66
glasgow middle,Lunch,1% White Milk (Each),16
glasgow middle,Lunch,Fat Free White Milk (Each),6
glen forest elementary,Breakfast,1% White Milk (Each),128
glen forest elementary,Breakfast,Fat Free White Milk (Each),34
glen forest elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
glen forest elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
glen forest elementary,Breakfast,"Lactose Free, White Milk (Each)",1
glen forest elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
glen forest elementary,Lunch,Fat Free Chocolate Milk (Each),125
glen forest elementary,Lunch,1% White Milk (Each),30
glen forest elementary,Lunch,Fat Free White Milk (Each),11
glen forest elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
graham road elementary,Breakfast,1% White Milk (Each),69
graham road elementary,Breakfast,Fat Free White Milk (Each),18
graham road elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
graham road elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
