name,left_over_total,offered_reimbursable,leftover_rate
Tomato Soup (8 oz Ladle),85,1543,5.508749189889825
Chicken Eggroll (2 Egg Rolls),35,636,5.50314465408805
"Sandwich, Turkey & Cheese (sandwich)",236,4338,5.440295066851084
Orange (6 Slices per 1/2 cup),725,13329,5.4392677620226575
Chicken Masala Drumstick (Drumstick),1150,21322,5.393490291717475
Hamburger (Sandwich),163,3060,5.326797385620915
"Quesadilla, Turkey Barbacoa and Cheese (Quesadilla)",580,10898,5.322077445402827
Flour Tortilla (Tortilla),82,1559,5.259781911481719
Cheese Quesadilla (Quesadilla),1288,24754,5.203199482911853
Chicken Alfredo Pasta (1 cup),44,849,5.1825677267373385
"Apple Slices (3 slices, 1/4 cup)",2256,44808,5.034815211569363
BBQ Chicken Drumstick (Drumstick),405,8059,5.0254373991810395
Chocolate Chip Cookie (1/2 Cookie),3518,70751,4.972367881726053
Steamed Broccoli (1/2 cup),1065,21483,4.9574081832146355
Nachos with Turkey Barbacoa and Cheese Sauce (Serving),1869,37801,4.94431364249623
Asian Veggie Sub (sandwich),1802,36559,4.92901884624853
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),128,2657,4.817463304478736
Red Seedless Grapes (8 grapes per 1/4 cup),7442,154734,4.80954412087841
"Chicken, Wings, Pre-Cooked (3 Wings)",71,1483,4.787592717464599
Turkey Pepperoni Pizza (Slice),5982,125383,4.770981712034327
Cooked  Brown Rice (1/2 cup cooked),3314,70067,4.729758659568699
Chilled Peaches (1/2 cup (drained)),1387,29494,4.7026513867227235
Carrot and Celery Sticks (1/2 cup),83,1768,4.6945701357466065
Applesauce (1/2 Cup),766,16435,4.66078491025251
Cheese Pizza (Slice),8753,191570,4.569087017800282
Breaded  Chicken Patty on a Bun (Sandwich),89,1957,4.5477772100153295
Orange Chicken (4 Bites w/ 1oz sauce),1519,33742,4.50180783593148
Broccoli Alfredo Pasta (1 cup),73,1622,4.5006165228113435
"Green Beans, Frozen (1/2 cup)",91,2028,4.487179487179487
Creamy Cabbage Slaw (1/4 cup),51,1144,4.458041958041958
Chicken Alfredo Pasta (heaping 1/2 cup (#8 scoop)),2,45,4.444444444444445
Turkey Barbacoa Tacos on Flour Tortillas (2 Tacos),11,250,4.3999999999999995
Korean Chicken Drumstick (Drumstick),30,686,4.373177842565598
Lettuce Blend Salad Mix (1/2 cup),27415,628150,4.364403406829579
Apple Slices (3 slices per 1/4 cup),14896,341427,4.362865268417553
Chicken Tenders (3 tenders),10395,240238,4.326959098893597
Chocolate Chip Cookie (Cookie),8926,208682,4.277321474779808
Vanilla Sugar Cookie (1/2 Cookie),48,1189,4.037005887300253
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",945,23648,3.996109607577808
Chicken Alfredo Pasta (heaping 1 cup ( #4 scoop)),28,706,3.9660056657223794
Chilled Mandarin Oranges (1/4 cup (drained)),2804,71159,3.9404713388327552
"Chicken, Drumstick, Sweet Thai Chili (Drumstick)",7,181,3.867403314917127
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",24,628,3.821656050955414
Potato Wedges (7 pieces),1930,52964,3.6439845933086628
"Chicken, Bites (4 Bites)",106,2911,3.641360357265545
Steamed Baby Carrots (1/4 cup),12,330,3.6363636363636362
Nachos with Cheese Sauce (Serving),1557,43601,3.5710190133253827
Potato Wedges (4 pieces),450,12707,3.5413551585740146
"Calzone, Cheese (Each)",29,829,3.4981905910735827
"Nutri-Grain, Strawberry (each)",6,172,3.488372093023256
Whole Strawberries (1/2 cup thawed),945,27661,3.416362387476953
Lettuce Blend Salad Mix (1 cup),777,23009,3.376939458472771
"Penne Pasta with Marinara and Beef Meatballs (1/2 cup cooked pasta, 1/2c sauce, 5 meatballs)",39,1164,3.350515463917526
"Chicken, Bites, Breaded (4 Bites)",30,1006,2.982107355864811
Bagel (Bagel),10,339,2.949852507374631
Mac & Cheese (2/3 cup),16,551,2.9038112522686026
Turkey Breast Steak (2 Slices),7,246,2.8455284552845526
Sweet N' Salty Popcorn (Bag),20,734,2.7247956403269753
Apple Slices (6 Slices per 1/2 cup),643,23819,2.6995255888156513
