school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered_reimbursable,offered_non-reimbursable,offered_total,served_reimbursable,served_non-reimbursable,served_total,discarded_total,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
annandale high,2025-05-09,20001,1% White Milk (Each),75,0,75,71,65,0,65,23.4,0,0.0,0.0,23.4,6.0,8.45,2.16,25.56,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-09,20038,Fat Free White Milk (Each),75,0,75,65,62,0,62,20.46,2,3.08,0.66,21.12,1.0,1.54,0.33,21.45,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-12,20001,1% White Milk (Each),75,0,75,100,76,0,76,27.36,0,0.0,0.0,27.36,24.0,24.0,8.64,36.0,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-12,20038,Fat Free White Milk (Each),75,0,75,122,61,0,61,20.13,0,0.0,0.0,20.13,61.0,50.0,20.13,40.26,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-13,20001,1% White Milk (Each),75,0,75,103,65,0,65,23.4,2,1.94,0.72,24.12,36.0,34.95,12.96,37.08,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-13,20038,Fat Free White Milk (Each),75,0,75,98,69,0,69,22.77,0,0.0,0.0,22.77,29.0,29.59,9.57,32.34,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-14,20001,1% White Milk (Each),75,0,75,85,82,0,82,29.52,0,0.0,0.0,29.52,3.0,3.53,1.08,30.6,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-14,20038,Fat Free White Milk (Each),75,0,75,113,78,0,78,25.74,0,0.0,0.0,25.74,35.0,30.97,11.55,37.29,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-15,20001,1% White Milk (Each),75,0,75,89,78,0,78,28.08,0,0.0,0.0,28.08,11.0,12.36,3.96,32.04,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-15,20038,Fat Free White Milk (Each),75,0,75,102,73,0,73,24.09,0,0.0,0.0,24.09,29.0,28.43,9.57,33.66,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-16,20001,1% White Milk (Each),75,0,75,87,72,0,72,25.92,0,0.0,0.0,25.92,15.0,17.24,5.4,31.32,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-16,20038,Fat Free White Milk (Each),75,0,75,140,61,0,61,20.13,0,0.0,0.0,20.13,79.0,56.43,26.07,46.2,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-19,20001,1% White Milk (Each),75,0,75,49,48,0,48,17.28,0,0.0,0.0,17.28,1.0,2.04,0.36,17.64,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-19,20038,Fat Free White Milk (Each),75,0,75,105,94,0,94,31.02,0,0.0,0.0,31.02,11.0,10.48,3.63,34.65,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-20,20001,1% White Milk (Each),75,0,75,63,62,0,62,22.32,0,0.0,0.0,22.32,1.0,1.59,0.36,22.68,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-20,20038,Fat Free White Milk (Each),75,0,75,110,74,0,74,24.42,0,0.0,0.0,24.42,36.0,32.73,11.88,36.3,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-21,20001,1% White Milk (Each),75,0,75,74,71,0,71,25.56,0,0.0,0.0,25.56,3.0,4.05,1.08,26.64,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-21,20038,Fat Free White Milk (Each),75,0,75,92,79,0,79,26.07,0,0.0,0.0,26.07,13.0,14.13,4.29,30.36,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
