school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
Aldrin Elementary,5/23/2025,20002,Fat Free Chocolate Milk (Each),140,0,140,150,135,0,135,$47.25,0,0.00%,$0.00,$47.25,15,10.00%,$5.25,$52.50,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/23/2025,20038,Fat Free White Milk (Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/27/2025,20001,1% White Milk (Each),43,0,43,72,45,0,45,$16.20,0,0.00%,$0.00,$16.20,27,37.50%,$9.72,$25.92,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/27/2025,20002,Fat Free Chocolate Milk (Each),129,0,129,155,134,0,134,$46.90,0,0.00%,$0.00,$46.90,21,13.55%,$7.35,$54.25,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/27/2025,20038,Fat Free White Milk (Each),15,0,15,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/28/2025,20001,1% White Milk (Each),43,0,43,70,43,0,43,$15.48,0,0.00%,$0.00,$15.48,27,38.57%,$9.72,$25.20,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/28/2025,20002,Fat Free Chocolate Milk (Each),129,0,129,155,138,0,138,$48.30,0,0.00%,$0.00,$48.30,17,10.97%,$5.95,$54.25,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/28/2025,20038,Fat Free White Milk (Each),15,0,15,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/29/2025,20001,1% White Milk (Each),43,0,43,75,57,0,57,$20.52,0,0.00%,$0.00,$20.52,18,24.00%,$6.48,$27.00,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/29/2025,20002,Fat Free Chocolate Milk (Each),129,0,129,160,131,0,131,$45.85,0,0.00%,$0.00,$45.85,29,18.13%,$10.15,$56.00,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/29/2025,20038,Fat Free White Milk (Each),15,0,15,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/30/2025,20001,1% White Milk (Each),43,0,43,52,37,0,37,$13.32,0,0.00%,$0.00,$13.32,15,28.85%,$5.40,$18.72,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/30/2025,20002,Fat Free Chocolate Milk (Each),129,0,129,155,128,0,128,$44.80,0,0.00%,$0.00,$44.80,27,17.42%,$9.45,$54.25,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/30/2025,20038,Fat Free White Milk (Each),15,0,15,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
