School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable.1,Non-Reimbursable.1,Total.1,Cost,Total.2,Percent of Offered,Cost.1,Total.3,Percent of Offered.1,Cost.2
Fairview Elementary,5/21/2025,20038,Fat Free White Milk(Each),12,0,12,12,5,0,5,$1.65,0,0.00%,$0.00,$1.65,7,58.33%,$2.31,$3.96,,,,
Fairview Elementary,5/21/2025,30004,Blueberry Chex Cereal(Each),13,0,13,13,12,1,13,$7.67,0,0.00%,$0.00,$7.67,0,0.00%,$0.00,$7.67,,,,
Fairview Elementary,5/21/2025,30006,Cinnamon Chex Cereal(Each),12,0,12,13,12,1,13,$7.67,0,0.00%,$0.00,$7.67,0,0.00%,$0.00,$7.67,,,,
Fairview Elementary,5/21/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",14,0,14,13,13,0,13,$7.67,0,0.00%,$0.00,$7.67,0,0.00%,$0.00,$7.67,,,,
Fairview Elementary,5/21/2025,30009,Orange Tangerine Juice(Each),65,0,65,139,98,41,139,$23.63,0,0.00%,$0.00,$23.63,0,0.00%,$0.00,$23.63,,,,
Fairview Elementary,5/21/2025,30051,Natural Grape Jam(Packet),0,0,0,10,6,2,8,$0.72,0,0.00%,$0.00,$0.72,2,20.00%,$0.18,$0.90,,,,
Fairview Elementary,5/21/2025,60011,Turkey Sausage Breakfast Biscuit(Sandwich),0,0,0,1,1,0,1,$0.44,0,0.00%,$0.00,$0.44,0,0.00%,$0.00,$0.44,,,,
Fairview Elementary,5/21/2025,60096,Strawberry Parfait(Parfait),0,0,0,3,2,0,2,$1.98,0,0.00%,$0.00,$1.98,1,33.33%,$0.99,$2.97,,,,
Fairview Elementary,5/21/2025,60162,Chicken & Biscuit Sandwich(Sandwich),50,0,50,20,10,0,10,$5.30,0,0.00%,$0.00,$5.30,10,50.00%,$5.30,$10.60,,,,
Fairview Elementary,5/22/2025,10041,Mini Maple Pancakes(Package),81,0,81,120,100,11,111,$43.29,1,0.83%,$0.39,$43.68,8,6.67%,$3.12,$46.80,,,,
Fairview Elementary,5/22/2025,20001,1% White Milk(Each),12,0,12,19,14,1,15,$5.40,0,0.00%,$0.00,$5.40,4,21.05%,$1.44,$6.84,,,,
Fairview Elementary,5/22/2025,20031,Banana(Each),5,0,5,12,5,0,5,$1.05,0,0.00%,$0.00,$1.05,7,58.33%,$1.47,$2.52,,,,
Fairview Elementary,5/22/2025,20038,Fat Free White Milk(Each),12,0,12,3,3,0,3,$0.99,0,0.00%,$0.00,$0.99,0,0.00%,$0.00,$0.99,,,,
Fairview Elementary,5/22/2025,30004,Blueberry Chex Cereal(Each),13,0,13,8,7,1,8,$4.72,0,0.00%,$0.00,$4.72,0,0.00%,$0.00,$4.72,,,,
Fairview Elementary,5/22/2025,30006,Cinnamon Chex Cereal(Each),7,0,7,7,6,1,7,$4.13,0,0.00%,$0.00,$4.13,0,0.00%,$0.00,$4.13,,,,
Fairview Elementary,5/22/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",14,0,14,8,7,1,8,$4.72,0,0.00%,$0.00,$4.72,0,0.00%,$0.00,$4.72,,,,
Fairview Elementary,5/22/2025,30009,Orange Tangerine Juice(Each),65,0,65,118,82,36,118,$20.06,0,0.00%,$0.00,$20.06,0,0.00%,$0.00,$20.06,,,,
Fairview Elementary,5/22/2025,30051,Natural Grape Jam(Packet),0,0,0,10,3,0,3,$0.27,0,0.00%,$0.00,$0.27,7,70.00%,$0.63,$0.90,,,,
Fairview Elementary,5/22/2025,30093,Natural Breakfast Syrup(Each),0,0,0,50,35,10,45,$9.00,0,0.00%,$0.00,$9.00,5,10.00%,$1.00,$10.00,,,,
Fairview Elementary,5/22/2025,60096,Strawberry Parfait(Parfait),3,0,3,3,3,0,3,$2.97,0,0.00%,$0.00,$2.97,0,0.00%,$0.00,$2.97,,,,
Fairview Elementary,5/22/2025,60162,Chicken & Biscuit Sandwich(Sandwich),0,0,0,10,8,1,9,$4.77,0,0.00%,$0.00,$4.77,1,10.00%,$0.53,$5.30,,,,
Fairview Elementary,5/23/2025,10020,Bagel(Bagel),0,0,0,13,11,2,13,$4.16,0,0.00%,$0.00,$4.16,0,0.00%,$0.00,$4.16,,,,
Fairview Elementary,5/23/2025,10041,Mini Maple Pancakes(Package),0,0,0,80,65,8,73,$28.47,0,0.00%,$0.00,$28.47,7,8.75%,$2.73,$31.20,,,,
Fairview Elementary,5/23/2025,10096,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",0,0,0,15,12,1,13,$5.33,0,0.00%,$0.00,$5.33,2,13.33%,$0.82,$6.15,,,,
Fairview Elementary,5/23/2025,20001,1% White Milk(Each),12,0,12,12,9,0,9,$3.24,0,0.00%,$0.00,$3.24,3,25.00%,$1.08,$4.32,,,,
Fairview Elementary,5/23/2025,20009,Cream Cheese(Each),0,0,0,13,9,2,11,$3.19,0,0.00%,$0.00,$3.19,2,15.38%,$0.58,$3.77,,,,
Fairview Elementary,5/23/2025,20016,String Cheese(1 Stick),25,0,25,15,13,0,13,$2.86,0,0.00%,$0.00,$2.86,2,13.33%,$0.44,$3.30,,,,
Fairview Elementary,5/23/2025,20031,Banana(Each),5,0,5,12,3,0,3,$0.63,0,0.00%,$0.00,$0.63,9,75.00%,$1.89,$2.52,,,,
Fairview Elementary,5/23/2025,20038,Fat Free White Milk(Each),12,0,12,12,4,0,4,$1.32,0,0.00%,$0.00,$1.32,8,66.67%,$2.64,$3.96,,,,
Fairview Elementary,5/23/2025,30004,Blueberry Chex Cereal(Each),13,0,13,5,5,0,5,$2.95,0,0.00%,$0.00,$2.95,0,0.00%,$0.00,$2.95,,,,
Fairview Elementary,5/23/2025,30006,Cinnamon Chex Cereal(Each),12,0,12,5,4,1,5,$2.95,0,0.00%,$0.00,$2.95,0,0.00%,$0.00,$2.95,,,,
Fairview Elementary,5/23/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",14,0,14,7,7,0,7,$4.13,0,0.00%,$0.00,$4.13,0,0.00%,$0.00,$4.13,,,,
Fairview Elementary,5/23/2025,30009,Orange Tangerine Juice(Each),65,0,65,126,96,30,126,$21.42,0,0.00%,$0.00,$21.42,0,0.00%,$0.00,$21.42,,,,
Fairview Elementary,5/23/2025,30093,Natural Breakfast Syrup(Each),0,0,0,37,20,8,28,$5.60,0,0.00%,$0.00,$5.60,9,24.32%,$1.80,$7.40,,,,
Fairview Elementary,5/23/2025,60096,Strawberry Parfait(Parfait),0,0,0,2,1,0,1,$0.99,0,0.00%,$0.00,$0.99,1,50.00%,$0.99,$1.98,,,,
Fairview Elementary,5/27/2025,10041,Mini Maple Pancakes(Package),81,0,81,120,88,12,100,$39.00,0,0.00%,$0.00,$39.00,20,16.67%,$7.80,$46.80,,,,
Fairview Elementary,5/27/2025,20001,1% White Milk(Each),12,0,12,12,8,0,8,$2.88,0,0.00%,$0.00,$2.88,4,33.33%,$1.44,$4.32,,,,
Fairview Elementary,5/27/2025,20008,Apple Slices(3 slices per 1/4 cup),0,0,0,12,6,0,6,$3.54,0,0.00%,$0.00,$3.54,6,50.00%,$3.54,$7.08,,,,
Fairview Elementary,5/27/2025,20038,Fat Free White Milk(Each),12,0,12,12,5,0,5,$1.65,0,0.00%,$0.00,$1.65,7,58.33%,$2.31,$3.96,,,,
Fairview Elementary,5/27/2025,30004,Blueberry Chex Cereal(Each),9,0,9,8,8,0,8,$4.72,0,0.00%,$0.00,$4.72,0,0.00%,$0.00,$4.72,,,,
Fairview Elementary,5/27/2025,30006,Cinnamon Chex Cereal(Each),10,0,10,8,7,1,8,$4.72,0,0.00%,$0.00,$4.72,0,0.00%,$0.00,$4.72,,,,
Fairview Elementary,5/27/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",14,0,14,10,9,1,10,$5.90,0,0.00%,$0.00,$5.90,0,0.00%,$0.00,$5.90,,,,
Fairview Elementary,5/27/2025,30009,Orange Tangerine Juice(Each),64,0,64,131,107,24,131,$22.27,0,0.00%,$0.00,$22.27,0,0.00%,$0.00,$22.27,,,,
Fairview Elementary,5/27/2025,30093,Natural Breakfast Syrup(Each),60,0,60,29,10,12,22,$4.40,0,0.00%,$0.00,$4.40,7,24.14%,$1.40,$5.80,,,,
Fairview Elementary,5/27/2025,60096,Strawberry Parfait(Parfait),0,0,0,4,2,1,3,$2.97,0,0.00%,$0.00,$2.97,1,25.00%,$0.99,$3.96,,,,
Fairview Elementary,5/28/2025,10020,Bagel(Bagel),0,0,0,30,22,8,30,$9.60,0,0.00%,$0.00,$9.60,0,0.00%,$0.00,$9.60,,,,
Fairview Elementary,5/28/2025,10023,Blueberry Bread(1oz Grain (1/64 Baked Pan)),0,0,0,15,6,2,8,$3.28,0,0.00%,$0.00,$3.28,7,46.67%,$2.87,$6.15,,,,
Fairview Elementary,5/28/2025,10041,Mini Maple Pancakes(Package),0,0,0,44,36,7,43,$16.77,1,2.27%,$0.39,$17.16,0,0.00%,$0.00,$17.16,,,,
