Item Name,Net Consumption,Total Served,Total Discarded
Sweet Thai Chili Chickenless Bites (4 bites),224.0,224,0.0
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",220.0,320,100.0
"Cheese, Shredded, Cheddar (Cup)",217.47,261,43.53
Steamed Broccoli (1/4 cups),206.41,214,7.59
Fish Filet Potato Encrusted (each),199.91,225,25.09
Grape Tomatoes (2 Tablespoons),198.0,198,0.0
Bean Salad (SUMMER) (1 cup),192.5,195,2.5
Turkey & Cheese & Cracker Power Pack (wrap),189.0,189,0.0
Red Seedless Grapes (24 grapes per 3/4 cup),184.0,184,0.0
"Sauce, Alfredo (2oz Ladle (1/4 cup))",183.36,189,5.64
Mini Maple Waffles (Package),182.0,182,0.0
"Quesadilla, Cheese and Taco Meat (Quesadilla)",174.0,174,0.0
Cucumber Slices (3/4 cup),173.74,277,103.26
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",168.0,168,0.0
"Cucumbers (1/4 cup sliced, 3 slices)",166.15,194,27.85
"Nutri-Grain, Strawberry (each)",166.0,166,0.0
Peach Yogurt (Container),165.0,165,0.0
"Chicken, Drumstick, Sweet Thai Chili (Drumstick)",163.27,169,5.73
Strawberry Banana Yogurt (each),156.0,156,0.0
Chicken Parmesan Sandwich (Sandwich),150.31,151,0.69
BBQ Sandwich (Sandwich),147.12,235,87.88
Black Bean and Corn Salad (1/2 cup),145.0,145,0.0
Powerade Mixed Berry Zero (Each),138.0,138,0.0
"Pasta, Penne (Prepared) (1/2 cup cooked)",138.0,138,0.0
Soft Bean Taco on Flour Tortilla (Taco),136.67,138,1.33
"CLPP, Grape Tomatoes (1/4 cup)",132.14,137,4.86
"Chicken, Shredded, Fully Cooked (1/2 cup)",130.14,133,2.86
Blueberry Muffin Top (Muffin Top),121.24,126,4.76
Turkey Barbacoa (#10 scoop),119.0,119,0.0
"Chicken, Drumstick, Roasted (Each Drumstick)",110.5,168,57.5
Blueberry Parfait (Parfait),106.0,176,70.0
Apple Slices (3/4 cup),97.33,99,1.67
BBQ Vegan Burger (Sandwich),97.1,215,117.9
"Pasta, Penne (Prepared) (cup cooked)",91.0,91,0.0
"CLPP, Cucumbers (1 cup)",89.0,89,0.0
Shredded Chicken Wrap (Wrap),86.5,99,12.5
Cheese Sandwich (sandwich),80.0,80,0.0
Turkey Breast Steak (2 Slices),75.0,175,100.0
Chicken & Cheese Nachos (Serving),75.0,75,0.0
Cheese Pizza (slice),74.0,74,0.0
"Salsa, Mild Canned (1/4 cup)",72.5,95,22.5
Chicken & Biscuit Sandwich (Sandwich),63.0,63,0.0
"IZZE, Apple (each)",61.0,61,0.0
"Beef, Meatballs, Pre-Cooked (5 meatballs)",58.14,61,2.86
"Turkey,  Breast, Pre-Sliced, Oven Roasted (6 Slices)",53.0,73,20.0
"Chex Mix, Cheddar - do not use (Package)",53.0,53,0.0
Vanilla Sugar Cookie (Cookie),53.0,53,0.0
"Wrap, Breaded Chicken (Wrap)",51.0,51,0.0
"Pasta, Frozen, Penne (Serving Size)",50.0,50,0.0
Honey Cheerios Cereal (Each),45.0,45,0.0
"Pasta, Macaroni (1 cup cooked)",45.0,45,0.0
Turkey Sausage Breakfast Biscuit (Sandwich),40.0,40,0.0
Chicken Alfredo Pasta (heaping 1/2 cup (#8 scoop)),39.78,42,2.22
"Canned Pineapple, Tidbits (1/2 cup (drained))",38.0,38,0.0
Applesauce (3/4 cup),37.0,37,0.0
"Tacos, Taco Meat, Flour Tortilla (2 Tacos)",36.0,56,20.0
"IZZE, Strawberry (each)",36.0,36,0.0
"IZZE, Blackberry (each)",35.0,35,0.0
Strawberry Parfait Power Pack w/Egg (Power Pack),32.06,35,2.94
"CLPP, Broccoli Crowns (1/2 cup)",30.0,30,0.0
"Tortilla Chips, Reduced Fat Tostitos, IW (Each)",30.0,30,0.0
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",25.33,32,6.67
Powerade Fruit Punch Zero (Each),24.0,24,0.0
Carrot and Celery Sticks (1/4 cup),24.0,24,0.0
Gatorade Zero Glacier Freeze (Each),24.0,24,0.0
"Egg, Hard Boiled, Bulk pouch (Each)",24.0,24,0.0
Hard Boiled Eggs (Each),21.0,21,0.0
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",20.0,20,0.0
Bean Street Tacos on Flour Tortillas (2 Tacos),19.409999999999997,65,45.59
Coke Classic 24/12oz (Each),18.0,18,0.0
Blueberry Chex Cereal (Each),18.0,18,0.0
Make Your Own Nachos (Nacho Kit),17.0,17,0.0
Egg and American Cheese on Biscuit (Sandwich),13.71,58,44.29
Egg and American Cheese on English Muffin (Sandwich),12.0,12,0.0
Sprite 24/12oz (Each),12.0,12,0.0
Diet Coke 24/12oz (Each),12.0,12,0.0
Chickenless Bites Wrap (Wrap),12.0,12,0.0
Cinnamon Chex Cereal (Each),12.0,12,0.0
Vanilla Yogurt (1/2 cup),7.0,7,0.0
Cherry Coke 24/12oz (Each),6.0,6,0.0
"Chicken, Diced (1/2 cup)",6.0,6,0.0
Peach Parfait (Parfait),5.0,5,0.0
Taco Flavored Hummus (each),4.0,4,0.0
Oat Milk (Each),4.0,4,0.0
Egg and American Cheese on Bagel (Sandwich),3.0,23,20.0
"Bar, Lemon Blueberry (Each)",2.0,2,0.0
"Cheese, American, Sliced (3 slices)",2.0,2,0.0
Tortilla Chips (26 chips),1.0,1,0.0
Turkey Barbacoa (1/2 Cup),1.0,1,0.0
Nachos with Black Beans and Cheese Sauce (Serving),-398.5500000000002,2229,2627.55
