identifier,name,unit_cost
20028,Lettuce Blend Salad Mix (1/2 cup),0.08
20079,"Lettuce, Green Salad Mix (1 cup)",0.17
10077,Mac & Cheese (2/3 cup),0.62
60088,Make Your Own Nachos (Nacho Kit),0.82
60077,Manager's Vegetable Choice (1/2 cup),0
60077,Manager's Vegetable Choice (1/4 cup),0
60034,Mandarin Orange Parfait (Parfait),0.97
60157,Mandarin Orange Pepper Fruit Salsa (1 TBSP),0.13
10056,Maple Belgian Waffle (Waffle),0.44
30018,Marinara Sauce (1/2 cup),0.29
30018,Marinara Sauce (1/4 Cup),0.15
30064,Mayonnaise Packet (Packet),0.1
30103,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",0.47
30188,"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",0.79
30184,"Milk, Soy, Vanilla (24/8 oz) (each)",0.87
10041,Mini Maple Pancakes (Package),0.39
10057,Mini Maple Waffles (Package),0.39
30065,Mustard Packet (Packet),0.05
60143,Nachos w/Shredded Chicken and Cheese Sauce (Serving Size),0.91
60079,Nachos with Black Beans and Cheese Sauce (Serving),0.61
60124,Nachos with Cheese Sauce (Serving),0.77
60071,Nachos with Cheese Sauce(serving size),0.77
60124,Nachos with Cheese Sauce (serving size),0.77
60070,Nachos with Taco Meat and Cheese Sauce (Serving Size),0.8
60078,Nachos with Turkey Barbacoa and Cheese Sauce (Serving),1.33
30050,Natural Blackberry Jam (Packet),0.15
30093,Natural Breakfast Syrup (Each),0.2
30051,Natural Grape Jam (Packet),0.09
30196,"Nutri-Grain, Apple Cinnamon (each)",0.37
30197,"Nutri-Grain, Blueberry (each)",0.34
30198,"Nutri-Grain, Strawberry (each)",0.4
30012,Oat Milk (Each),0.66
20035,"Onions, Red, Whole (1/4 cup (sliced))",0.07
20035,"Onions, Red, Whole (2 Tablespoons (sliced))",0.03
20017,Orange (1/4 cup),0.17
20017,Orange (6 Slices per 1/2 cup),0.34
20017,Orange (Each - serving),0.34
60055,Orange Chicken (4 Bites w/ 1oz sauce),0.95
60052,Orange Chickenless Bites (4 bites),0.87
30041,Orange Flavored Dried Cranberries (2 Eaches),0.48
30041,Orange Flavored Dried Cranberries (Each),0.24
10070,Orange Sauce (ounce),0.14
20047,Orange Slices (3 slices per 1/4 cup),0.2
20047,Orange Slices (6 Slices per 1/2 cup),0.4
20047,Orange Slices (9 slices per 3/4 cup),0.6
20047,Orange Slices (Each),0.4
30009,Orange Tangerine Juice (Each),0.16
30042,Original Flavored Dried Cranberries (Package),0.24
60035,PB&J Power Pack (Power Packs),1.08
60099,"Parfait, Triple Berry (Parfait)",0.67
60039,Pasta with Meat Sauce (serving),1.07
60026,"Pasta, Baked Penne (1 cup)",1.66
10076,"Pasta, Frozen, Penne (Serving Size)",1.06
10042,"Pasta, Lasagna Roll-Up, Cheese (Each)",0.84
60025,"Pasta, Macaroni (1 cup cooked)",0.13
60024,"Pasta, Penne (Prepared) (1/2 cup cooked)",0.07
60024,"Pasta, Penne (Prepared) (cup cooked)",0.13
10001,"Patty, Chicken, Breaded, WG (2 strips)",0.22
10001,"Patty, Chicken, Breaded, WG (Serving)",0.44
10013,"Patty, Chicken, Spicy, Breaded (2 strips)",0.36
10013,"Patty, Chicken, Spicy, Breaded (Patty)",0.72
60033,Peach Parfait (Parfait),1.15
20033,Peach Yogurt (Container),0.35
60038,Peach Yogurt Power Pack (Power Packs),0.79
10045,"Peanut Butter and Jelly Sandwich, IW (Each)",0.66
