school_name,name,total_offered,total_left_over,net_consumption_rate
Baileys Upper Elementary,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",348,13,96.26436781609196
Baileys Upper Elementary,Bagel (Bagel),314,13,95.85987261146497
Baileys Upper Elementary,Cream Cheese (Each),274,13,95.25547445255475
Baileys Upper Elementary,Mandarin Orange Parfait (Parfait),253,17,93.2806324110672
Baileys Upper Elementary,Honey Cheerios Cereal (Each),1305,100,92.33716475095785
Baileys Upper Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",65,5,92.3076923076923
Baileys Upper Elementary,Apple Juice (Each),5613,472,91.59094958132906
Baileys Upper Elementary,"Parfait, Triple Berry (Parfait)",470,41,91.27659574468086
Baileys Upper Elementary,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",487,46,90.55441478439425
Baileys Upper Elementary,Blueberry Bread (1oz Grain (1/64 Baked Pan)),329,42,87.2340425531915
Baileys Upper Elementary,String Cheese (1 Stick),962,123,87.21413721413721
Baileys Upper Elementary,Strawberry Parfait (Parfait),105,15,85.71428571428571
Baileys Upper Elementary,Mini Maple Pancakes (Package),1530,243,84.11764705882354
Baileys Upper Elementary,Natural Breakfast Syrup (Each),1530,246,83.92156862745098
Baileys Upper Elementary,1% White Milk (Each),1437,246,82.88100208768267
Baileys Upper Elementary,Blueberry Muffin Top (Muffin Top),189,35,81.48148148148148
Baileys Upper Elementary,"Bread, English Muffin, WG (Each)",84,20,76.19047619047619
Baileys Upper Elementary,Fat Free White Milk (Each),348,87,75.0
Baileys Upper Elementary,Red Delicious Apple (Each - serving),2821,1283,54.519673874512584
Baileys Upper Elementary,Natural Grape Jam (Packet),619,375,39.4184168012924
Beech Tree Elementary,IW Applesauce Cup (Each),36,0,100.0
Beech Tree Elementary,Cream Cheese (Each),253,10,96.04743083003953
Beech Tree Elementary,Egg and American Cheese on Bagel (Sandwich),329,15,95.44072948328267
Beech Tree Elementary,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",150,7,95.33333333333334
Beech Tree Elementary,Apple Juice (Each),2902,199,93.14266023432116
Beech Tree Elementary,Bagel (Bagel),312,22,92.94871794871796
Beech Tree Elementary,"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",360,30,91.66666666666666
Beech Tree Elementary,Mini Maple Pancakes (Package),1356,121,91.07669616519173
Beech Tree Elementary,Honey Cheerios Cereal (Each),638,78,87.7742946708464
Beech Tree Elementary,Blueberry Bread (2oz Grain (1/32 Baked Pan)),150,20,86.66666666666667
Beech Tree Elementary,Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),96,13,86.45833333333334
Beech Tree Elementary,Banana (Each),228,31,86.40350877192982
Beech Tree Elementary,Applesauce (1/2 Cup),94,13,86.17021276595744
Beech Tree Elementary,Chilled Peaches (1/2 cup (drained)),216,30,86.11111111111111
Beech Tree Elementary,Chilled Pineapple (1/2 cup),216,30,86.11111111111111
Beech Tree Elementary,Chicken Tenders (3 tenders),50,7,86.0
Beech Tree Elementary,Turkey Sausage Breakfast Biscuit (Sandwich),7,1,85.71428571428571
Beech Tree Elementary,"Apple, Slices, IW - ER Supper Only (Each)",660,95,85.60606060606061
Beech Tree Elementary,Red Delicious Apple (Each - serving),430,63,85.34883720930233
Beech Tree Elementary,1% White Milk (Each),1958,308,84.26966292134831
